Season,Team,Lg,Salary,Player
2003-04,Cleveland Cavaliers,NBA,"$4,018,920 ",Lebron James
2004-05,Cleveland Cavaliers,NBA,"$4,320,360 ",Lebron James
2005-06,Cleveland Cavaliers,NBA,"$4,621,800 ",Lebron James
2006-07,Cleveland Cavaliers,NBA,"$5,828,090 ",Lebron James
2007-08,Cleveland Cavaliers,NBA,"$13,041,250 ",Lebron James
2008-09,Cleveland Cavaliers,NBA,"$14,410,581 ",Lebron James
2009-10,Cleveland Cavaliers,NBA,"$15,779,912 ",Lebron James
2010-11,Miami Heat,NBA,"$14,500,000 ",Lebron James
2011-12,Miami Heat,NBA,"$16,022,500 ",Lebron James
2012-13,Miami Heat,NBA,"$17,545,000 ",Lebron James
2013-14,Miami Heat,NBA,"$19,067,500 ",Lebron James
2014-15,Cleveland Cavaliers,NBA,"$20,644,400 ",Lebron James
2015-16,Cleveland Cavaliers,NBA,"$22,971,000 ",Lebron James
2016-17,Cleveland Cavaliers,NBA,"$30,963,450 ",Lebron James
2017-18,Cleveland Cavaliers,NBA,"$33,285,709 ",Lebron James
1984-85,Chicago Bulls,NBA,"$550,000 ",Michael Jordan
1985-86,Chicago Bulls,NBA,"$630,000 ",Michael Jordan
1987-88,Chicago Bulls,NBA,"$845,000 ",Michael Jordan
1988-89,Chicago Bulls,NBA,"$2,000,000 ",Michael Jordan
1989-90,Chicago Bulls,NBA,"$2,500,000 ",Michael Jordan
1990-91,Chicago Bulls,NBA,"$2,500,000 ",Michael Jordan
1991-92,Chicago Bulls,NBA,"$3,250,000 ",Michael Jordan
1992-93,Chicago Bulls,NBA,"$4,000,000 ",Michael Jordan
1993-94,Chicago Bulls,NBA,"$4,000,000 ",Michael Jordan
1994-95,Chicago Bulls,NBA,"$3,850,000 ",Michael Jordan
1995-96,Chicago Bulls,NBA,"$3,850,000 ",Michael Jordan
1996-97,Chicago Bulls,NBA,"$30,140,000 ",Michael Jordan
1997-98,Chicago Bulls,NBA,"$33,140,000 ",Michael Jordan
2001-02,Washington Wizards,NBA,"$1,000,000 ",Michael Jordan
2002-03,Washington Wizards,NBA,"$1,030,000 ",Michael Jordan
1996-97,Los Angeles Lakers,NBA,"$1,015,000 ",Kobe Bryant
1997-98,Los Angeles Lakers,NBA,"$1,167,240 ",Kobe Bryant
1998-99,Los Angeles Lakers,NBA,"$1,319,000 ",Kobe Bryant
1999-00,Los Angeles Lakers,NBA,"$9,000,000 ",Kobe Bryant
2000-01,Los Angeles Lakers,NBA,"$10,130,000 ",Kobe Bryant
2001-02,Los Angeles Lakers,NBA,"$11,250,000 ",Kobe Bryant
2002-03,Los Angeles Lakers,NBA,"$12,375,000 ",Kobe Bryant
2003-04,Los Angeles Lakers,NBA,"$13,500,000 ",Kobe Bryant
2004-05,Los Angeles Lakers,NBA,"$14,175,000 ",Kobe Bryant
2005-06,Los Angeles Lakers,NBA,"$15,946,875 ",Kobe Bryant
2006-07,Los Angeles Lakers,NBA,"$17,718,750 ",Kobe Bryant
2007-08,Los Angeles Lakers,NBA,"$19,490,625 ",Kobe Bryant
2008-09,Los Angeles Lakers,NBA,"$21,262,500 ",Kobe Bryant
2009-10,Los Angeles Lakers,NBA,"$23,034,375 ",Kobe Bryant
2010-11,Los Angeles Lakers,NBA,"$24,806,250 ",Kobe Bryant
2011-12,Los Angeles Lakers,NBA,"$25,244,493 ",Kobe Bryant
2012-13,Los Angeles Lakers,NBA,"$27,849,149 ",Kobe Bryant
2013-14,Los Angeles Lakers,NBA,"$30,453,805 ",Kobe Bryant
2014-15,Los Angeles Lakers,NBA,"$23,500,000 ",Kobe Bryant
2015-16,Los Angeles Lakers,NBA,"$25,000,000 ",Kobe Bryant
